ID,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1001,Alabama,Autauga,55036,26899,28137,2.700,75.400,18.900,0.300,0.900,0.000,41016,55317,2838,27824,2024,13.70,20.10,35.30,18.00,23.20,8.10,15.40,86.00,9.60,0.10,0.60,1.30,2.50,25.80,24112,74.100,20.200,5.600,0.100,5.200
1003,Alabama,Baldwin,203360,99527,103833,4.400,83.100,9.500,0.800,0.700,0.000,155376,52562,1348,29364,735,11.80,16.10,35.70,18.20,25.60,9.70,10.80,84.70,7.60,0.10,0.80,1.10,5.60,27.00,89527,80.700,12.900,6.300,0.100,5.500
1005,Alabama,Barbour,26201,13976,12225,4.200,45.700,47.800,0.200,0.600,0.000,20269,33368,2551,17561,798,27.20,44.90,25.00,16.80,22.60,11.50,24.10,83.40,11.10,0.30,2.20,1.70,1.30,23.40,8878,74.100,19.100,6.500,0.300,12.400
1007,Alabama,Bibb,22580,12251,10329,2.400,74.600,22.000,0.400,0.000,0.000,17662,43404,3431,20911,1889,15.20,26.60,24.40,17.60,19.70,15.90,22.40,86.40,9.50,0.70,0.30,1.70,1.50,30.00,8171,76.000,17.400,6.300,0.300,8.200
1009,Alabama,Blount,57667,28490,29177,9.000,87.400,1.500,0.300,0.100,0.000,42513,47412,2630,22021,850,15.60,25.40,28.50,12.90,23.30,15.80,19.50,86.80,10.20,0.10,0.40,0.40,2.10,35.00,21380,83.900,11.900,4.000,0.100,4.900
1011,Alabama,Bullock,10478,5616,4862,0.300,21.600,75.600,1.000,0.700,0.000,8212,29655,5376,20856,2355,28.50,50.40,19.70,17.10,18.60,14.00,30.60,73.10,15.70,0.30,6.20,1.70,3.00,29.80,4290,81.400,13.600,5.000,0.000,12.100
1013,Alabama,Butler,20126,9416,10710,0.300,52.200,44.700,0.100,1.100,0.000,15459,36326,2701,19004,943,24.40,34.80,26.90,17.30,18.50,11.60,25.70,83.60,12.60,0.00,0.90,0.90,2.00,23.20,7727,79.100,15.300,5.300,0.300,7.600
1015,Alabama,Calhoun,115527,55593,59934,3.600,72.700,20.400,0.200,1.000,0.000,88383,43686,1491,23638,793,18.60,26.60,29.00,17.50,23.70,10.40,19.40,85.00,9.20,0.20,1.30,1.10,3.20,24.80,47392,74.900,19.900,5.100,0.100,10.100
1017,Alabama,Chambers,33895,16320,17575,2.200,56.200,39.300,0.300,1.000,0.000,26259,37342,2011,22002,1205,18.80,29.10,24.30,13.50,23.00,11.60,27.60,87.10,9.70,0.20,0.60,0.50,2.00,23.60,14527,84.500,11.800,3.700,0.000,6.400
1019,Alabama,Cherokee,25855,12862,12993,1.600,91.800,5.000,0.500,0.100,0.000,20620,40041,2316,23010,1354,16.10,20.00,28.80,14.80,18.10,11.90,26.50,85.00,12.10,0.40,0.30,0.30,2.00,26.50,9879,74.800,17.100,8.100,0.000,5.300
1021,Alabama,Chilton,43805,21554,22251,7.700,80.400,9.500,0.400,0.400,0.000,31776,43501,2877,23368,1925,19.40,27.80,25.30,14.50,23.70,15.50,21.00,83.20,12.60,0.10,0.60,1.80,1.70,32.50,17675,81.100,14.000,4.500,0.400,6.700
1023,Alabama,Choctaw,13188,6277,6911,0.500,56.300,42.100,0.000,0.100,0.000,10454,32122,2797,20994,1307,22.30,32.80,23.60,15.40,22.00,17.10,21.90,81.80,13.70,0.00,1.70,1.20,1.60,32.70,4301,79.900,14.800,4.900,0.400,9.800
1025,Alabama,Clarke,24625,11649,12976,0.200,53.000,45.700,0.100,0.500,0.100,19087,33827,2336,20765,1203,25.30,30.70,21.60,14.30,24.80,13.70,25.60,83.70,11.90,0.20,0.70,2.70,0.90,23.90,7933,83.100,11.800,5.100,0.000,15.200
1027,Alabama,Clay,13407,6471,6936,3.100,80.200,14.700,0.900,0.000,0.000,10332,37287,6507,21330,1553,19.10,23.50,22.20,14.60,18.40,12.90,31.90,87.50,6.00,0.00,2.80,0.60,3.00,30.30,5509,77.800,14.500,7.700,0.000,6.400
1029,Alabama,Cleburne,14939,7367,7572,2.400,92.700,2.800,0.300,0.500,0.000,11329,37396,5390,20873,1251,19.10,31.00,25.70,11.40,23.20,18.00,21.70,81.80,14.50,0.00,0.90,0.10,2.70,33.20,5743,76.100,15.700,8.200,0.000,7.800
1031,Alabama,Coffee,51073,25225,25848,6.700,71.000,17.100,1.000,1.300,0.000,38026,49821,1945,26216,950,16.10,26.30,31.60,17.30,21.40,13.10,16.70,86.60,8.10,0.00,1.00,1.40,2.80,21.70,21639,73.600,20.700,5.600,0.100,6.000
1033,Alabama,Colbert,54435,26143,28292,2.400,78.800,15.900,0.700,0.500,0.000,42195,45477,1959,23675,816,16.80,24.10,27.10,15.40,26.00,11.20,20.30,89.10,7.30,0.10,0.70,0.80,2.00,23.10,22180,78.100,16.100,5.500,0.300,6.900
1035,Alabama,Conecuh,12649,6040,6609,1.800,50.300,46.300,0.200,0.000,0.000,9812,30434,3446,16337,934,26.40,39.30,15.90,19.70,24.30,12.80,27.40,90.00,6.70,0.40,0.80,0.40,1.70,29.60,3945,79.500,12.300,7.200,1.000,14.500
1037,Alabama,Coosa,10955,5474,5481,0.100,65.300,33.200,0.100,0.000,0.000,8989,34792,3587,20342,1728,14.40,17.90,17.60,23.20,23.70,14.50,20.90,83.20,9.70,0.60,1.70,0.60,4.20,29.80,3897,78.800,15.900,5.400,0.000,11.300
1039,Alabama,Covington,37519,18133,19386,1.600,83.500,13.000,0.300,0.400,0.000,29164,39467,2392,22431,830,17.60,25.00,29.20,14.30,22.20,15.80,18.40,86.80,8.60,0.20,1.10,1.50,1.90,25.20,14686,80.000,13.200,6.700,0.100,10.700
1041,Alabama,Crenshaw,13866,6786,7080,1.800,71.200,23.100,0.800,1.400,0.000,10551,38937,3177,21580,1212,17.60,22.50,26.40,13.10,24.10,13.20,23.30,81.20,12.20,0.10,1.70,0.80,4.00,28.60,5700,73.000,19.100,7.800,0.200,6.400
1043,Alabama,Cullman,81703,40223,41480,4.200,92.300,1.100,0.400,0.600,0.000,62012,40997,1715,21857,729,16.40,19.60,29.30,14.60,23.40,14.00,18.60,88.30,8.40,0.10,0.60,0.60,2.00,26.50,32072,81.300,11.900,6.300,0.400,5.800
1045,Alabama,Dale,49393,24524,24869,6.100,69.500,19.200,0.500,0.900,0.000,37173,44711,2010,23194,868,19.60,27.20,28.20,15.30,26.60,13.70,16.10,87.10,6.70,0.10,2.10,1.80,2.20,20.70,17988,73.600,20.700,5.600,0.200,10.400
1047,Alabama,Dallas,40755,18809,21946,1.000,27.700,70.200,0.000,0.400,0.000,30303,30065,1775,18248,759,31.90,49.50,26.70,18.20,20.90,8.80,25.30,86.60,8.90,0.20,1.70,1.40,1.20,22.10,14461,78.800,15.200,5.600,0.400,13.700
1049,Alabama,DeKalb,71194,35328,35866,14.300,80.800,1.400,1.200,0.300,0.100,49579,38842,2154,20020,899,21.50,31.00,23.70,15.20,20.80,12.40,28.00,86.50,9.80,0.00,0.90,0.60,2.10,23.20,28416,78.000,12.100,9.700,0.100,5.100
1051,Alabama,Elmore,80989,39357,41632,2.900,73.400,21.200,0.300,0.600,0.000,61966,54981,2614,26251,957,13.50,20.40,34.80,13.20,26.30,11.00,14.70,86.20,10.20,0.10,0.60,0.60,2.20,28.00,33054,72.900,21.400,5.600,0.100,7.300
