Rank,Name,State,2020_Pop,2010_Census,Change,Density_km,Area_km
1,New York,New York,8323340,8190360,0.0162,10699,778
2,Los Angeles,California,4015940,3795370,0.0581,3306,1215
3,Chicago,Illinois,2694240,2697530,-0.0012,4575,589
4,Houston,Texas,2340890,2098450,0.1155,1412,1658
5,Phoenix,Arizona,1703080,1449300,0.1751,1270,1341
6,Philadelphia,Pennsylvania,1591800,1528290,0.0416,4577,348
7,San Antonio,Texas,1578030,1332880,0.1839,1256,1256
8,San Diego,California,1447100,1305970,0.1081,1715,844
9,Dallas,Texas,1382270,1200370,0.1515,1571,880
10,San Jose,California,1033670,954492,0.083,2245,461
11,Austin,Texas,988218,806423,0.2254,1193,829
12,Fort Worth,Texas,932116,748481,0.2453,1041,895
13,Jacksonville,Florida,926371,823123,0.1254,479,1936
14,Columbus,Ohio,922223,790935,0.166,1624,568
15,Charlotte,North Carolina,905318,738534,0.2258,1138,796
16,San Francisco,California,896047,805550,0.1123,7376,121
17,Indianapolis,Indiana,875929,821555,0.0662,935,936
18,Seattle,Washington,783137,610639,0.2825,3606,217
19,Denver,Colorado,734134,603354,0.2168,1849,397
20,Washington,District of Columbia,720687,605085,0.1911,4552,158
21,Boston,Massachusetts,710195,621074,0.1435,5673,125
22,El Paso,Texas,685575,650708,0.0536,1028,667
23,Nashville,Tennessee,673167,604587,0.1134,547,1232
24,Detroit,Michigan,667272,711120,-0.0617,1857,359
25,Portland,Oregon,664103,585436,0.1344,1922,346
26,Las Vegas,Nevada,662000,584606,0.1324,1803,367
27,Oklahoma City,Oklahoma,655407,582285,0.1256,417,1571
28,Memphis,Tennessee,647374,652309,-0.0076,788,822
29,Louisville,Kentucky,624890,596155,0.0482,916,682
30,Baltimore,Maryland,590479,621005,-0.0492,2816,210
31,Milwaukee,Wisconsin,585589,594881,-0.0156,2351,249
32,Albuquerque,New Mexico,561188,546806,0.0263,1157,485
33,Tucson,Arizona,553871,527167,0.0507,898,616
34,Fresno,California,538195,497721,0.0813,1811,297
35,Mesa,Arizona,527666,440995,0.1965,1475,358
36,Atlanta,Georgia,523738,429193,0.2203,1490,352
37,Sacramento,California,521769,467302,0.1166,2061,253
38,Kansas City,Missouri,505198,460737,0.0965,619,816
39,Miami,Florida,486388,400841,0.2134,5217,93
40,Colorado Springs,Colorado,485946,420544,0.1555,962,505
41,Raleigh,North Carolina,481958,406355,0.1861,1276,378
42,Omaha,Nebraska,470702,450887,0.0439,1289,365
43,Long Beach,California,463218,462440,0.0017,3528,131
44,Virginia Beach,Virginia,447841,438855,0.0205,707,634
45,Minneapolis,Minnesota,437069,383067,0.141,3125,140
