,Rank,Name,county_name,city_state,state,2020_Pop,2010_Census,Change,Density_km,Area_km,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Unemployment,pop_change,pop_change_per_year,est_pop_2011,est_pop_2012,est_pop_2013,est_pop_2014,est_pop_2015,est_pop_2016,est_pop_2017,est_pop_2018,est_pop_2019,City,State_Code,2018 total police force,total_employees,2018 police officers,2018 police civilians
0,1,New York,New York,New York_New York,New York,8323340,8190360,0.0162,10699,778,26.1,46.8,12.5,0.1,11.9,0,69529,17.3,6.2,132980,13298,8203658,8216956,8230254,8243552,8256850,8270148,8283446,8296744,8310042,New York,NY,8523171,52278,36134,16144
1,2,Los Angeles,Los Angeles,Los Angeles_California,California,4015940,3795370,0.0581,3306,1215,48.4,26.5,7.9,0.2,14.3,0.2,30798,17,7.8,220570,22057,3817427,3839484,3861541,3883598,3905655,3927712,3949769,3971826,3993883,Los Angeles,CA,4029741,13010,9974,3036
2,3,Chicago,Cook,Chicago_Illinois,Illinois,2694240,2697530,-0.0012,4575,589,25.1,42.7,23.4,0.1,6.9,0,33722,15.9,8.7,-3290,-329,2697201,2696872,2696543,2696214,2695885,2695556,2695227,2694898,2694569,Chicago,IL,2719151,14086,13138,948
3,4,Houston,Harris,Houston_Texas,Texas,2340890,2098450,0.1155,1412,1658,42.2,30.6,18.5,0.2,6.8,0.1,30856,16.8,6.4,242440,24244,2122694,2146938,2171182,2195426,2219670,2243914,2268158,2292402,2316646,Houston,TX,2344966,6258,5229,1029
4,5,Phoenix,Maricopa,Phoenix_Arizona,Arizona,1703080,1449300,0.1751,1270,1341,30.6,56.3,5.1,1.5,3.9,0.2,30186,15.7,6,253780,25378,1474678,1500056,1525434,1550812,1576190,1601568,1626946,1652324,1677702,Phoenix,AZ,1653080,3902,2919,983
5,6,Philadelphia,Philadelphia,Philadelphia_Pennsylvania,Pennsylvania,1591800,1528290,0.0416,4577,348,14.1,34.9,41.3,0.2,7,0,24811,25.8,11.3,63510,6351,1534641,1540992,1547343,1553694,1560045,1566396,1572747,1579098,1585449,Philadelphia,PA,1586916,7366,6577,789
6,7,San Antonio,Bexar,San Antonio_Texas,Texas,1578030,1332880,0.1839,1256,1256,59.8,28.4,7,0.2,2.6,0.1,26158,16.4,6.1,245150,24515,1357395,1381910,1406425,1430940,1455455,1479970,1504485,1529000,1553515,San Antonio,TX,1539328,2991,2352,639
7,8,San Diego,San Diego,San Diego_California,California,1447100,1305970,0.1081,1715,844,33.4,46.2,4.7,0.4,11.5,0.4,34350,13.3,7.1,141130,14113,1320083,1334196,1348309,1362422,1376535,1390648,1404761,1418874,1432987,San Diego,CA,1436495,2332,1731,601
8,9,Dallas,Dallas,Dallas_Texas,Texas,1382270,1200370,0.1515,1571,880,39.6,30.2,22.1,0.2,6,0,29810,17.7,5.9,181900,18190,1218560,1236750,1254940,1273130,1291320,1309510,1327700,1345890,1364080,Dallas,TX,1362465,3581,3007,574
9,10,San Jose,Santa Clara,San Jose_California,California,1033670,954492,0.083,2245,461,26.1,32.6,2.4,0.2,34.9,0.3,48689,8.6,5.7,79178,7917.8,962409.8,970327.6,978245.4,986163.2,994081,1001998.8,1009916.6,1017834.4,1025752.2,San Jose,CA,1047305,1550,1113,437
10,11,Austin,Travis,Austin_Texas,Texas,988218,806423,0.2254,1193,829,33.9,49.3,7.9,0.2,6.3,0,38820,13.9,4.5,181795,18179.5,824602.5,842782,860961.5,879141,897320.5,915500,933679.5,951859,970038.5,Austin,TX,973344,2422,1851,571
11,12,Fort Worth,Tarrant,Fort Worth_Texas,Texas,932116,748481,0.2453,1041,895,28.2,48.3,15.6,0.3,5.1,0.2,30857,13.5,5.4,183635,18363.5,766844.5,785208,803571.5,821935,840298.5,858662,877025.5,895389,913752.5,Fort Worth,TX,893756,2132,1694,438
12,13,Jacksonville,Duval,Jacksonville_Florida,Florida,926371,823123,0.1254,479,1936,9,54.1,29.3,0.2,4.6,0.1,28593,16,7.4,103248,10324.8,833447.8,843772.6,854097.4,864422.2,874747,885071.8,895396.6,905721.4,916046.2,Jacksonville,FL,903213,3032,1724,1308
13,14,Columbus,Franklin,Columbus_Ohio,Ohio,922223,790935,0.166,1624,568,5.2,64.5,21.7,0.1,4.8,0,31199,16.7,5.7,131288,13128.8,804063.8,817192.6,830321.4,843450.2,856579,869707.8,882836.6,895965.4,909094.2,Columbus,OH,892576,2255,1870,385
14,15,Charlotte,Mecklenburg,Charlotte_North Carolina,North Carolina,905318,738534,0.2258,1138,796,12.9,47.9,30.7,0.2,5.5,0,35669,13.4,6.8,166784,16678.4,755212.4,771890.8,788569.2,805247.6,821926,838604.4,855282.8,871961.2,888639.6,Charlotte,NC,931235,2342,1817,525
15,16,San Francisco,San Francisco,San Francisco_California,California,896047,805550,0.1123,7376,121,15.3,40.8,5.1,0.2,33.9,0.3,59508,11.7,5.4,90497,9049.7,814599.7,823649.4,832699.1,841748.8,850798.5,859848.2,868897.9,877947.6,886997.3,San Francisco,CA,889282,2913,2306,607
16,17,Indianapolis,Marion,Indianapolis_Indiana,Indiana,875929,821555,0.0662,935,936,10.1,56.7,27.2,0.2,2.9,0,26284,19.8,8,54374,5437.4,826992.4,832429.8,837867.2,843304.6,848742,854179.4,859616.8,865054.2,870491.6,Indianapolis,IN,877584,3153,2616,537
17,18,Seattle,King,Seattle_Washington,Washington,783137,610639,0.2825,3606,217,9.5,61.4,6,0.5,16.5,0.8,46316,10.2,5,172498,17249.8,627888.8,645138.6,662388.4,679638.2,696888,714137.8,731387.6,748637.4,765887.2,Seattle,WA,742759,1954,1420,534
18,19,Denver,Denver,Denver_Colorado,Colorado,734134,603354,0.2168,1849,397,30.5,53.6,9.2,0.5,3.5,0.1,38991,15.1,4.5,130780,13078,616432,629510,642588,655666,668744,681822,694900,707978,721056,Denver,CO,720745,1824,1517,307
19,20,Washington,District of Columbia,Washington_District of Columbia,District of Columbia,720687,605085,0.1911,4552,158,10.7,36,46.9,0.2,3.7,0,50832,17.4,8,115602,11560.2,616645.2,628205.4,639765.6,651325.8,662886,674446.2,686006.4,697566.6,709126.8,Washington,DC,702455,4520,3841,679
20,21,Boston,Suffolk,Boston_Massachusetts,Massachusetts,710195,621074,0.1435,5673,125,22.3,45.5,20.2,0.2,8.6,0,38031,19.6,7.1,89121,8912.1,629986.1,638898.2,647810.3,656722.4,665634.5,674546.6,683458.7,692370.8,701282.9,Boston,MA,694673,2715,2122,593
21,22,El Paso,El Paso,El Paso_Texas,Texas,685575,650708,0.0536,1028,667,82.2,12.4,3,0.3,1.1,0.1,19950,21.7,7,34867,3486.7,654194.7,657681.4,661168.1,664654.8,668141.5,671628.2,675114.9,678601.6,682088.3,El Paso,TX,688442,1341,1103,238
22,23,Nashville,Davidson,Nashville_Tennessee,Tennessee,673167,604587,0.1134,547,1232,10.1,56.4,27.3,0.3,3.5,0.1,32347,16.9,5.3,68580,6858,611445,618303,625161,632019,638877,645735,652593,659451,666309,Nashville,TN,686492,1757,1435,322
23,24,Detroit,Wayne,Detroit_Michigan,Michigan,667272,711120,-0.0617,1857,359,5.7,49.7,38.9,0.3,3.1,0,24847,23.7,11.6,-43848,-4384.8,706735.2,702350.4,697965.6,693580.8,689196,684811.2,680426.4,676041.6,671656.8,Detroit,MI,671275,3019,2398,621
24,25,Portland,Multnomah,Portland_Oregon,Oregon,664103,585436,0.1344,1922,346,11.3,70.5,5.3,0.6,7,0.6,34848,16.4,6.8,78667,7866.7,593302.7,601169.4,609036.1,616902.8,624769.5,632636.2,640502.9,648369.6,656236.3,Portland,OR,657260,1177,922,255
25,26,Las Vegas,Clark,Las Vegas_Nevada,Nevada,662000,584606,0.1324,1803,367,30.7,44.1,10.8,0.4,9.5,0.7,27719,14.6,8.3,77394,7739.4,592345.4,600084.8,607824.2,615563.6,623303,631042.4,638781.8,646521.2,654260.6,Las Vegas,NV,1644390,4535,2962,1573
26,27,Oklahoma City,Oklahoma,Oklahoma City_Oklahoma,Oklahoma,655407,582285,0.1256,417,1571,16.8,56.8,14.8,2.5,3.3,0.1,29127,17,5.2,73122,7312.2,589597.2,596909.4,604221.6,611533.8,618846,626158.2,633470.4,640782.6,648094.8,Oklahoma City,OK,652936,1382,1102,280
27,28,Memphis,Shelby,Memphis_Tennessee,Tennessee,647374,652309,-0.0076,788,822,6.1,36.5,53.2,0.1,2.5,0,28117,20.8,8.6,-4935,-493.5,651815.5,651322,650828.5,650335,649841.5,649348,648854.5,648361,647867.5,Memphis,TN,652226,2605,1995,610
28,29,Louisville,Jefferson,Louisville_Kentucky,Kentucky,624890,596155,0.0482,916,682,5,68.5,21,0.1,2.7,0,31039,15,6.4,28735,2873.5,599028.5,601902,604775.5,607649,610522.5,613396,616269.5,619143,622016.5,Louisville,KY,682005,1538,1246,292
29,30,Baltimore,Baltimore,Baltimore_Maryland,Maryland,590479,621005,-0.0492,2816,210,5.1,58.7,27.5,0.2,5.9,0,37270,9.1,5.5,-30526,-3052.6,617952.4,614899.8,611847.2,608794.6,605742,602689.4,599636.8,596584.2,593531.6,Baltimore,MD,605436,2935,2488,447
30,31,Milwaukee,Milwaukee,Milwaukee_Wisconsin,Wisconsin,585589,594881,-0.0156,2351,249,14.6,52.2,26.1,0.5,4.1,0,26933,20.5,7.1,-9292,-929.2,593951.8,593022.6,592093.4,591164.2,590235,589305.8,588376.6,587447.4,586518.2,Milwaukee,WI,595619,2305,1851,454
31,32,Albuquerque,Bernalillo,Albuquerque_New Mexico,New Mexico,561188,546806,0.0263,1157,485,49.5,39.5,2.5,4,2.3,0.1,28340,18,6.7,14382,1438.2,548244.2,549682.4,551120.6,552558.8,553997,555435.2,556873.4,558311.6,559749.8,Albuquerque,NM,558874,864,864,
32,33,Tucson,Pima,Tucson_Arizona,Arizona,553871,527167,0.0507,898,616,36.6,52.6,3.2,2.4,2.6,0.1,27323,18.3,8.4,26704,2670.4,529837.4,532507.8,535178.2,537848.6,540519,543189.4,545859.8,548530.2,551200.6,Tucson,AZ,537392,1015,807,208
