State,City,State_Code,population,total_employees,total_officers,total_civilians
Alabama,Tuscaloosa,AL,101764,349,274,75
Alabama,Huntsville,AL,196620,633,434,199
Alabama,Montgomery,AL,198662,566,474,92
Alabama,Birmingham,AL,210564,977,762,215
Alabama,Mobile,AL,245475,715,494,221
Alaska,Anchorage,AK,291992,574,427,147
Arizona,Surprise,AZ,136611,193,139,54
Arizona,Peoria,AZ,170177,278,196,82
Arizona,Tempe,AZ,188543,488,346,142
Arizona,Gilbert,AZ,247463,386,232,154
Arizona,Glendale,AZ,249799,561,426,135
Arizona,Scottsdale,AZ,254961,608,381,227
Arizona,Chandler,AZ,255986,494,332,162
Arizona,Mesa,AZ,504873,1202,779,423
Arizona,Tucson,AZ,537392,1015,807,208
Arizona,Phoenix,AZ,1653080,3902,2919,983
Arkansas,Little Rock,AR,199288,701,575,126
California,Vacaville,CA,101146,157,103,54
California,Rialto,CA,104173,125,96,29
California,El Cajon,CA,104497,182,119,63
California,Burbank,CA,105041,231,148,83
California,San Mateo,CA,105839,148,107,41
California,West Covina,CA,107806,153,95,58
California,Daly City,CA,107928,124,98,26
California,Santa Maria,CA,108100,170,121,49
California,Inglewood,CA,110726,235,185,50
California,Richmond,CA,110982,253,181,72
California,Ventura,CA,111272,176,136,40
California,Clovis,CA,111759,166,101,65
California,Antioch,CA,112956,133,97,36
California,Downey,CA,113277,165,116,49
California,Costa Mesa,CA,114358,188,128,60
California,Murrieta,CA,114706,129,88,41
California,El Monte,CA,116464,162,119,43
California,Carlsbad,CA,116739,162,117,45
California,Fairfield,CA,117883,177,119,58
California,Vallejo,CA,122974,150,107,43
Iowa,Des Moines,IA,516853,465,362,103
California,Berkeley,CA,123735,247,153,94
California,Simi Valley,CA,127222,162,109,53
California,Santa Clara,CA,128682,222,150,72
California,Concord,CA,130855,197,145,52
California,Visalia,CA,134224,212,146,66
California,Roseville,CA,137706,185,122,63
California,Orange,CA,141108,218,152,66
California,Fullerton,CA,141132,189,124,65
California,Pasadena,CA,143448,333,222,111
California,Torrance,CA,146968,316,212,104
California,Escondido,CA,153073,209,155,54
California,Pomona,CA,153496,269,146,123
California,Sunnyvale,CA,155637,282,217,65
California,Salinas,CA,158590,204,151,53
California,Hayward,CA,162881,292,177,115
California,Corona,CA,170041,209,148,61
California,Elk Grove,CA,174651,226,139,87
California,Garden Grove,CA,174661,213,155,58
California,Santa Rosa,CA,176325,246,170,76
California,Oceanside,CA,177464,293,207,86
California,Ontario,CA,177542,381,280,101
California,Huntington Beach,CA,203428,349,215,134
California,Glendale,CA,204724,323,223,100
California,Oxnard,CA,211737,357,239,118
California,Fontana,CA,213964,290,183,107
California,Modesto,CA,215822,301,217,84
California,San Bernardino,CA,217986,394,238,156
California,Fremont,CA,238024,278,181,97
California,Chula Vista,CA,274370,305,221,84
California,Irvine,CA,288052,310,216,94
California,Stockton,CA,313158,671,469,202
California,Riverside,CA,331022,522,370,152
California,Santa Ana,CA,335403,533,313,220
California,Anaheim,CA,354743,597,419,178
California,Bakersfield,CA,385609,537,398,139
California,Oakland,CA,430230,1010,731,279
California,Long Beach,CA,470445,1164,824,340
California,Sacramento,CA,507037,948,651,297
California,Fresno,CA,531818,1063,811,252
California,San Francisco,CA,889282,2913,2306,607
California,San Jose,CA,1047305,1550,1113,437
California,San Diego,CA,1436495,2332,1731,601
California,Los Angeles,CA,4029741,13010,9974,3036
Colorado,Greeley,CO,107325,208,156,52
Colorado,Boulder,CO,108380,262,173,89
Colorado,Centennial,CO,111646,163,122,41
Colorado,Pueblo,CO,111756,279,219,60
Colorado,Westminster,CO,113751,247,174,73
Colorado,Arvada,CO,120631,220,174,46
Colorado,Thornton,CO,139697,313,233,80
Colorado,Lakewood,CO,156779,409,285,124
Colorado,Fort Collins,CO,168163,302,207,95
Colorado,Aurora,CO,372824,857,723,134
Colorado,Colorado Springs,CO,471124,995,702,293
Colorado,Denver,CO,720745,1824,1517,307
New Mexico,Albuquerque,NM,558874,864,864,
Connecticut,Waterbury,CT,108378,315,264,51
Connecticut,Hartford,CT,123117,425,394,31
Connecticut,New Haven,CT,131181,460,406,54
Connecticut,Stamford,CT,132007,304,282,22
Connecticut,Bridgeport,CT,146819,445,392,53
District of Columbia,Washington,DC,702455,4520,3841,679
Florida,Boca Raton,FL,100162,302,200,102
Florida,Davie,FL,107120,258,187,71
Florida,Lakeland,FL,109616,351,241,110
Florida,West Palm Beach,FL,111659,377,287,90
Florida,Pompano Beach,FL,112045,258,231,27
Florida,Palm Bay,FL,112902,209,152,57
Florida,Miami Gardens,FL,114670,264,214,50
Florida,Clearwater,FL,116504,321,233,88
Florida,Gainesville,FL,133400,330,262,68
Florida,Coral Springs,FL,134640,307,210,97
Florida,Miramar,FL,143103,290,215,75
Florida,Hollywood,FL,155503,394,300,94
Florida,Pembroke Pines,FL,173053,361,267,94
Florida,Fort Lauderdale,FL,182150,679,525,154
Florida,Cape Coral,FL,187869,311,228,83
Florida,Tallahassee,FL,192443,447,377,70
Florida,Port St. Lucie,FL,193137,299,232,67
Florida,Hialeah,FL,241778,335,269,66
Florida,St. Petersburg,FL,265942,781,549,232
Florida,Orlando,FL,286679,944,729,215
Florida,Tampa,FL,392945,1206,946,260
Florida,Miami,FL,473047,1741,1309,432
Florida,Jacksonville,FL,903213,3032,1724,1308
Georgia,Sandy Springs,GA,108654,157,139,18
Georgia,Athens-Clarke County,GA,127014,278,218,60
Georgia,Columbus,GA,194135,503,403,100
Georgia,Savannah-Chatham Metropolitan,GA,242265,687,519,168
Georgia,Atlanta,GA,496106,1987,1535,452
Hawaii,Honolulu,HI,982019,2434,1942,492
Idaho,Meridian,ID,103774,135,105,30
Idaho,Boise,ID,229265,376,292,84
Illinois,Peoria,IL,112595,226,207,19
Illinois,Elgin,IL,113060,233,181,52
Illinois,Springfield,IL,114623,268,239,29
Illinois,Rockford,IL,146198,339,299,40
Illinois,Joliet,IL,148553,340,269,71
Illinois,Chicago,IL,2719151,14086,13138,948
Indiana,South Bend,IN,102397,283,237,46
Indiana,Fort Wayne,IN,267634,531,470,61
